Device_SN,R1380193
Test_Time,01/25/2024 16:21:03
Memo,R1380193; Raman Laser Off; 
Integration_Time(ms),50000.00
Case_Temperature,27.30
Sensor_Temperature,-16.00
Laser_Wavelength(nm),532.000
Laser_Power(mW),0
WL_Unit,Raman_Shift(cm^-1)
Pwr_Unit,Count
Substract_Background,Yes
Smoothing,No
Baseline_Correction,No
Average_Number,1
Peak_Search_Mode,None
Noise_Threshold,1000
Data_Count,2048
WL,Power
90.605,27147.000
92.580,26093.000
94.555,25139.000
96.529,24115.000
98.503,23149.000
100.476,21827.000
102.449,20566.000
104.421,19482.000
106.392,18206.000
108.364,17126.000
110.334,16045.000
112.305,14861.000
114.274,13792.000
116.244,12865.000
118.213,11905.000
120.181,11022.000
122.149,10246.000
124.116,9457.000
126.083,8779.000
128.050,8174.000
130.016,7479.000
131.981,6973.000
133.946,6583.000
135.911,6185.000
137.875,5632.000
139.838,5162.000
141.801,4682.000
143.764,4429.000
145.726,4059.000
147.688,3865.000
149.649,3496.000
151.610,3237.000
153.570,2969.000
155.530,2834.000
157.489,2641.000
159.448,2488.000
161.406,2273.000
163.364,2161.000
165.321,1961.000
167.278,1850.000
169.235,1745.000
171.191,1597.000
173.146,1529.000
175.101,1486.000
177.056,1361.000
179.010,1298.000
180.963,1223.000
182.916,1174.000
184.869,1119.000
186.821,1045.000
188.773,992.000
190.724,963.000
192.675,872.000
194.625,785.000
196.575,838.000
198.524,776.000
200.473,678.000
202.421,803.000
204.369,662.000
206.316,589.000
208.263,611.000
210.210,571.000
212.156,646.000
214.101,588.000
216.046,535.000
217.991,557.000
219.935,503.000
221.878,500.000
223.821,391.000
225.764,490.000
227.706,426.000
229.648,414.000
231.589,352.000
233.530,363.000
235.470,453.000
237.410,584.000
239.349,344.000
241.288,445.000
243.227,399.000
245.164,434.000
247.102,327.000
249.039,371.000
250.975,313.000
252.911,377.000
254.847,352.000
256.782,314.000
258.717,342.000
260.651,354.000
262.584,298.000
264.518,365.000
266.450,315.000
268.383,271.000
270.314,351.000
272.246,356.000
274.176,301.000
276.107,323.000
278.037,354.000
279.966,325.000
281.895,364.000
283.823,497.000
285.751,343.000
287.679,304.000
289.606,290.000
291.533,360.000
293.459,346.000
295.384,359.000
297.310,339.000
299.234,323.000
301.158,292.000
303.082,333.000
305.005,265.000
306.928,334.000
308.851,251.000
310.773,329.000
312.694,373.000
314.615,346.000
316.535,296.000
318.455,322.000
320.375,290.000
322.294,295.000
324.212,305.000
326.131,264.000
328.048,292.000
329.965,253.000
331.882,289.000
333.798,353.000
335.714,321.000
337.629,273.000
339.544,333.000
341.459,307.000
343.372,290.000
345.286,310.000
347.199,246.000
349.111,310.000
351.023,287.000
352.935,289.000
354.846,300.000
356.757,392.000
358.667,312.000
360.576,349.000
362.486,386.000
364.394,260.000
366.303,319.000
368.210,360.000
370.118,405.000
372.025,324.000
373.931,432.000
375.837,315.000
377.742,331.000
379.647,373.000
381.552,392.000
383.456,464.000
385.360,434.000
387.263,359.000
389.165,441.000
391.067,432.000
392.969,393.000
394.870,445.000
396.771,422.000
398.672,462.000
400.571,480.000
402.471,406.000
404.370,434.000
406.268,460.000
408.166,403.000
410.064,400.000
411.961,392.000
413.857,344.000
415.753,412.000
417.649,503.000
419.544,372.000
421.439,392.000
423.333,364.000
425.227,329.000
427.120,399.000
429.013,340.000
430.906,363.000
