Device_SN,R1380193
Test_Time,02/06/2024 14:28:07
Memo,R1380193; Raman Laser Off; 
Integration_Time(ms),27000.00
Case_Temperature,26.98
Sensor_Temperature,-18.57
Laser_Wavelength(nm),532.000
Laser_Power(mW),0
WL_Unit,Raman_Shift(cm^-1)
Pwr_Unit,Count
Substract_Background,Yes
Smoothing,No
Baseline_Correction,No
Average_Number,1
Peak_Search_Mode,None
Noise_Threshold,1000
Data_Count,2048
WL,Power
90.605,12848.000
92.580,12370.000
94.555,11919.000
96.529,11464.000
98.503,10910.000
100.476,10371.000
102.449,9913.000
104.421,9294.000
106.392,8684.000
108.364,8184.000
110.334,7678.000
112.305,7069.000
114.274,6603.000
116.244,6124.000
118.213,5636.000
120.181,5257.000
122.149,4906.000
124.116,4598.000
126.083,4225.000
128.050,3901.000
130.016,3534.000
131.981,3352.000
133.946,3081.000
135.911,2834.000
137.875,2615.000
139.838,2371.000
141.801,2184.000
143.764,2046.000
145.726,1925.000
147.688,1754.000
149.649,1619.000
151.610,1492.000
153.570,1352.000
155.530,1229.000
157.489,1144.000
159.448,1066.000
161.406,968.000
163.364,933.000
165.321,854.000
167.278,792.000
169.235,724.000
171.191,696.000
173.146,622.000
175.101,613.000
177.056,557.000
179.010,500.000
180.963,497.000
182.916,464.000
184.869,406.000
186.821,386.000
188.773,415.000
190.724,382.000
192.675,300.000
194.625,312.000
196.575,272.000
198.524,281.000
200.473,268.000
202.421,252.000
204.369,260.000
206.316,188.000
208.263,202.000
210.210,152.000
212.156,181.000
214.101,160.000
216.046,180.000
217.991,121.000
219.935,144.000
221.878,158.000
223.821,144.000
225.764,137.000
227.706,146.000
229.648,121.000
231.589,113.000
233.530,112.000
235.470,91.000
237.410,116.000
239.349,130.000
241.288,101.000
243.227,56.000
245.164,138.000
247.102,84.000
249.039,60.000
250.975,74.000
252.911,108.000
254.847,92.000
256.782,100.000
258.717,60.000
260.651,99.000
262.584,84.000
264.518,52.000
266.450,68.000
268.383,84.000
270.314,42.000
272.246,48.000
274.176,81.000
276.107,28.000
278.037,43.000
279.966,80.000
281.895,60.000
283.823,94.000
285.751,76.000
287.679,34.000
289.606,33.000
291.533,52.000
293.459,76.000
295.384,37.000
297.310,48.000
299.234,66.000
301.158,45.000
303.082,88.000
305.005,58.000
306.928,53.000
308.851,73.000
310.773,78.000
312.694,73.000
314.615,55.000
316.535,82.000
318.455,31.000
320.375,65.000
322.294,45.000
324.212,43.000
326.131,32.000
328.048,57.000
329.965,49.000
331.882,50.000
333.798,75.000
335.714,27.000
337.629,67.000
339.544,65.000
341.459,39.000
343.372,14.000
345.286,53.000
347.199,39.000
349.111,43.000
351.023,79.000
352.935,75.000
354.846,74.000
356.757,102.000
358.667,95.000
360.576,87.000
362.486,93.000
364.394,35.000
366.303,60.000
368.210,42.000
370.118,62.000
372.025,51.000
373.931,130.000
375.837,31.000
377.742,80.000
379.647,104.000
381.552,74.000
383.456,85.000
385.360,107.000
387.263,69.000
389.165,112.000
391.067,57.000
392.969,78.000
394.870,101.000
396.771,66.000
398.672,111.000
400.571,106.000
402.471,124.000
404.370,61.000
406.268,109.000
408.166,139.000
410.064,92.000
411.961,104.000
413.857,91.000
415.753,102.000
417.649,102.000
419.544,92.000
421.439,56.000
423.333,143.000
425.227,92.000
427.120,72.000
429.013,83.000
430.906,103.000
432.798,61.000
434.689,108.000
436.580,61.000
438.471,58.000
440.361,90.000
442.250,82.000
444.140,24.000
446.028,49.000
447.916,72.000
449.804,64.000
451.691,44.000
453.578,79.000
455.465,61.000
457.351,68.000
459.236,73.000
461.121,36.000
463.005,94.000
464.889,73.000
466.773,80.000
468.656,74.000
470.539,84.000
472.421,52.000
474.303,110.000
476.184,73.000
478.065,79.000
479.945,57.000
481.825,111.000
483.704,40.000
485.583,109.000
487.462,65.000
489.340,98.000
491.217,43.000
493.094,64.000
494.971,62.000
496.847,37.000
498.723,44.000
500.598,71.000
502.473,64.000
504.347,56.000
506.221,38.000
508.095,64.000
509.967,90.000
511.840,79.000
513.712,100.000
515.584,112.000
517.455,97.000
519.325,72.000
521.195,74.000
523.065,44.000
524.934,39.000
526.803,91.000
528.671,95.000
530.539,45.000
532.407,100.000
534.274,54.000
536.140,87.000
538.006,101.000
539.872,98.000
541.737,75.000
543.601,64.000
545.466,94.000
547.329,70.000
549.192,96.000
551.055,114.000
552.918,84.000
554.779,128.000
556.641,68.000
558.502,101.000
560.362,128.000
562.222,168.000
564.082,44.000
565.941,104.000
567.800,98.000
569.658,144.000
571.516,161.000
573.373,185.000
575.230,199.000
577.086,200.000
578.942,267.000
580.797,293.000
582.652,395.000
584.507,370.000
586.361,439.000
588.215,502.000
590.068,550.000
591.920,581.000
593.773,676.000
595.624,646.000
597.476,651.000
599.327,772.000
601.177,882.000
603.027,965.000
604.876,963.000
606.725,1042.000
608.574,977.000
610.422,931.000
612.270,814.000
614.117,719.000
615.964,635.000
617.810,537.000
619.656,514.000
621.501,456.000
623.346,381.000
625.190,345.000
627.034,281.000
628.878,272.000
630.721,263.000
632.564,202.000
634.406,270.000
636.247,141.000
638.089,199.000
639.930,174.000
641.770,195.000
643.610,148.000
645.449,138.000
647.288,171.000
649.127,121.000
650.965,119.000
652.802,101.000
654.639,88.000
656.476,110.000
658.312,129.000
660.148,127.000
661.983,151.000
663.818,108.000
665.653,93.000
667.487,135.000
669.320,133.000
671.153,162.000
672.986,120.000
674.818,147.000
676.650,127.000
678.481,158.000
680.312,145.000
682.142,80.000
683.972,155.000
685.801,127.000
687.630,117.000
689.459,119.000
691.287,127.000
693.114,66.000
694.941,134.000
696.768,138.000
698.594,91.000
700.420,134.000
702.246,68.000
704.070,104.000
705.895,153.000
707.719,79.000
709.542,84.000
711.365,152.000
713.188,96.000
715.010,71.000
716.832,110.000
718.653,68.000
720.474,76.000
722.294,91.000
724.114,118.000
725.933,93.000
727.752,137.000
729.571,93.000
731.389,98.000
733.207,132.000
735.024,90.000
736.841,93.000
738.657,114.000
740.473,88.000
742.288,77.000
744.103,81.000
745.917,54.000
747.731,109.000
749.545,123.000
751.358,55.000
753.171,94.000
754.983,121.000
756.795,75.000
758.606,62.000
760.417,134.000
762.227,75.000
764.037,74.000
765.847,102.000
767.656,52.000
769.464,40.000
771.272,95.000
773.080,33.000
774.887,103.000
776.694,45.000
778.500,129.000
780.306,69.000
782.112,130.000
783.917,75.000
785.721,129.000
787.525,113.000
789.329,138.000
791.132,127.000
792.935,146.000
794.737,165.000
796.539,118.000
798.341,132.000
800.141,146.000
801.942,147.000
803.742,134.000
805.542,144.000
807.341,152.000
809.139,160.000
810.938,154.000
812.735,132.000
814.533,84.000
816.330,159.000
818.126,133.000
819.922,137.000
821.718,200.000
823.513,188.000
825.308,210.000
827.102,234.000
828.895,255.000
830.689,245.000
832.482,323.000
834.274,265.000
836.066,304.000
837.858,327.000
839.649,334.000
841.439,358.000
843.229,405.000
845.019,360.000
846.808,385.000
848.597,421.000
850.386,352.000
852.174,345.000
853.961,401.000
855.748,318.000
857.535,281.000
859.321,299.000
861.107,233.000
862.892,242.000
864.677,220.000
866.461,235.000
868.245,186.000
870.028,190.000
871.812,161.000
873.594,175.000
875.376,191.000
877.158,148.000
878.939,132.000
880.720,181.000
882.500,145.000
884.280,150.000
886.060,171.000
