Device_SN,R1380193
Test_Time,02/06/2024 14:15:15
Memo,R1380193; Raman Laser Off; 
Integration_Time(ms),27000.00
Case_Temperature,26.43
Sensor_Temperature,-17.97
Laser_Wavelength(nm),532.000
Laser_Power(mW),0
WL_Unit,Raman_Shift(cm^-1)
Pwr_Unit,Count
Substract_Background,Yes
Smoothing,No
Baseline_Correction,No
Average_Number,1
Peak_Search_Mode,None
Noise_Threshold,1000
Data_Count,2048
WL,Power
90.605,15725.000
92.580,15148.000
94.555,14624.000
96.529,14039.000
98.503,13287.000
100.476,12562.000
102.449,11921.000
104.421,11224.000
106.392,10478.000
108.364,9863.000
110.334,9263.000
112.305,8637.000
114.274,8044.000
116.244,7449.000
118.213,6870.000
120.181,6415.000
122.149,5902.000
124.116,5532.000
126.083,5079.000
128.050,4689.000
130.016,4294.000
131.981,4059.000
133.946,3745.000
135.911,3435.000
137.875,3175.000
139.838,2936.000
141.801,2711.000
143.764,2495.000
145.726,2355.000
147.688,2130.000
149.649,1981.000
151.610,1806.000
153.570,1690.000
155.530,1557.000
157.489,1461.000
159.448,1293.000
161.406,1264.000
163.364,1169.000
165.321,1066.000
167.278,1002.000
169.235,950.000
171.191,832.000
173.146,814.000
175.101,805.000
177.056,717.000
179.010,680.000
180.963,652.000
182.916,548.000
184.869,603.000
186.821,553.000
188.773,476.000
190.724,512.000
192.675,420.000
194.625,423.000
196.575,382.000
198.524,419.000
200.473,365.000
202.421,376.000
204.369,314.000
206.316,276.000
208.263,299.000
210.210,254.000
212.156,257.000
214.101,279.000
216.046,256.000
217.991,183.000
219.935,259.000
221.878,270.000
223.821,194.000
225.764,220.000
227.706,222.000
229.648,134.000
231.589,176.000
233.530,161.000
235.470,137.000
237.410,172.000
239.349,197.000
241.288,155.000
243.227,145.000
245.164,193.000
247.102,132.000
249.039,146.000
250.975,115.000
252.911,146.000
254.847,142.000
256.782,164.000
258.717,156.000
260.651,177.000
262.584,147.000
264.518,96.000
266.450,108.000
268.383,116.000
270.314,118.000
272.246,174.000
274.176,108.000
276.107,108.000
278.037,104.000
279.966,132.000
281.895,133.000
283.823,177.000
285.751,116.000
287.679,96.000
289.606,92.000
291.533,135.000
293.459,125.000
295.384,96.000
297.310,119.000
299.234,104.000
301.158,90.000
303.082,103.000
305.005,108.000
306.928,110.000
308.851,108.000
310.773,105.000
312.694,126.000
314.615,112.000
316.535,133.000
318.455,112.000
320.375,94.000
322.294,123.000
324.212,100.000
326.131,142.000
328.048,115.000
329.965,115.000
331.882,113.000
333.798,81.000
335.714,91.000
337.629,91.000
339.544,110.000
341.459,106.000
343.372,77.000
345.286,145.000
347.199,114.000
349.111,53.000
351.023,108.000
352.935,118.000
354.846,121.000
356.757,124.000
358.667,119.000
360.576,109.000
362.486,148.000
364.394,94.000
366.303,163.000
368.210,70.000
370.118,145.000
372.025,117.000
373.931,180.000
375.837,122.000
377.742,136.000
379.647,185.000
381.552,147.000
383.456,173.000
385.360,188.000
387.263,137.000
389.165,171.000
391.067,175.000
392.969,150.000
394.870,163.000
396.771,138.000
398.672,134.000
400.571,161.000
402.471,191.000
404.370,142.000
406.268,184.000
408.166,184.000
410.064,174.000
411.961,174.000
413.857,189.000
415.753,208.000
417.649,149.000
419.544,180.000
421.439,124.000
423.333,131.000
425.227,164.000
427.120,127.000
429.013,92.000
430.906,187.000
432.798,129.000
434.689,141.000
436.580,130.000
438.471,120.000
440.361,113.000
442.250,151.000
444.140,122.000
446.028,107.000
447.916,128.000
449.804,111.000
451.691,105.000
453.578,140.000
455.465,125.000
457.351,111.000
459.236,154.000
461.121,98.000
463.005,113.000
464.889,121.000
466.773,106.000
468.656,107.000
470.539,176.000
472.421,134.000
474.303,146.000
476.184,156.000
478.065,129.000
479.945,97.000
481.825,171.000
483.704,85.000
485.583,175.000
487.462,130.000
489.340,122.000
491.217,79.000
493.094,157.000
494.971,82.000
496.847,108.000
498.723,104.000
500.598,162.000
502.473,117.000
504.347,139.000
506.221,104.000
508.095,181.000
509.967,140.000
511.840,117.000
513.712,141.000
515.584,173.000
517.455,111.000
519.325,155.000
521.195,129.000
523.065,93.000
524.934,98.000
526.803,158.000
528.671,122.000
530.539,99.000
532.407,195.000
534.274,92.000
536.140,133.000
538.006,140.000
539.872,121.000
541.737,125.000
543.601,160.000
545.466,165.000
547.329,137.000
549.192,173.000
551.055,154.000
552.918,177.000
554.779,190.000
556.641,154.000
558.502,202.000
560.362,185.000
562.222,201.000
564.082,139.000
565.941,184.000
567.800,216.000
569.658,190.000
571.516,206.000
573.373,238.000
575.230,256.000
577.086,311.000
578.942,327.000
580.797,416.000
582.652,440.000
584.507,523.000
586.361,577.000
588.215,679.000
590.068,727.000
591.920,756.000
593.773,866.000
595.624,874.000
597.476,906.000
599.327,1047.000
601.177,1172.000
603.027,1284.000
604.876,1311.000
606.725,1375.000
608.574,1303.000
610.422,1228.000
612.270,1065.000
614.117,943.000
615.964,814.000
617.810,725.000
619.656,623.000
621.501,554.000
623.346,478.000
625.190,448.000
627.034,358.000
628.878,346.000
630.721,347.000
632.564,283.000
634.406,315.000
636.247,256.000
638.089,231.000
639.930,237.000
641.770,246.000
643.610,205.000
645.449,224.000
647.288,238.000
649.127,223.000
650.965,161.000
652.802,151.000
654.639,192.000
656.476,205.000
658.312,154.000
660.148,215.000
661.983,211.000
663.818,171.000
665.653,182.000
667.487,181.000
669.320,157.000
671.153,254.000
672.986,199.000
674.818,253.000
676.650,187.000
678.481,254.000
680.312,200.000
682.142,167.000
683.972,223.000
685.801,175.000
687.630,169.000
689.459,164.000
691.287,205.000
693.114,161.000
694.941,217.000
696.768,194.000
698.594,140.000
700.420,169.000
702.246,141.000
704.070,178.000
705.895,212.000
707.719,160.000
709.542,163.000
711.365,174.000
713.188,171.000
715.010,140.000
716.832,148.000
718.653,182.000
720.474,119.000
722.294,161.000
724.114,180.000
725.933,141.000
727.752,148.000
729.571,151.000
731.389,126.000
733.207,223.000
735.024,165.000
736.841,119.000
738.657,158.000
740.473,192.000
742.288,123.000
744.103,142.000
745.917,153.000
747.731,136.000
749.545,180.000
751.358,191.000
753.171,124.000
754.983,175.000
756.795,137.000
758.606,107.000
760.417,137.000
762.227,135.000
764.037,147.000
765.847,170.000
767.656,134.000
769.464,59.000
771.272,147.000
773.080,186.000
774.887,152.000
776.694,125.000
778.500,243.000
780.306,173.000
782.112,196.000
783.917,169.000
785.721,189.000
787.525,197.000
789.329,237.000
791.132,224.000
792.935,295.000
794.737,417.000
796.539,443.000
798.341,439.000
800.141,268.000
801.942,254.000
803.742,278.000
805.542,243.000
807.341,241.000
809.139,299.000
810.938,257.000
812.735,207.000
814.533,218.000
816.330,278.000
818.126,219.000
819.922,250.000
821.718,275.000
823.513,284.000
825.308,261.000
827.102,337.000
828.895,349.000
830.689,390.000
832.482,404.000
834.274,394.000
836.066,442.000
837.858,451.000
839.649,469.000
841.439,527.000
843.229,512.000
845.019,535.000
846.808,585.000
848.597,614.000
850.386,542.000
852.174,504.000
853.961,555.000
855.748,437.000
857.535,419.000
859.321,387.000
861.107,359.000
862.892,358.000
864.677,383.000
866.461,406.000
868.245,318.000
870.028,282.000
871.812,257.000
873.594,289.000
875.376,232.000
877.158,229.000
878.939,261.000
880.720,250.000
882.500,230.000
884.280,172.000
886.060,237.000
887.839,202.000
889.617,171.000
891.395,256.000
893.173,188.000
894.950,187.000
896.727,180.000
898.503,181.000
900.279,216.000
902.055,195.000
903.830,218.000
905.604,229.000
907.378,235.000
909.152,245.000
910.925,277.000
912.698,279.000
914.470,259.000
916.242,262.000
918.014,234.000
919.785,253.000
921.555,233.000
923.326,255.000
925.095,231.000
926.864,303.000
928.633,251.000
930.402,242.000
932.169,241.000
933.937,266.000
935.704,258.000
937.470,267.000
939.237,259.000
941.002,306.000
942.768,328.000
944.532,333.000
946.297,345.000
948.061,362.000
949.824,400.000
951.587,448.000
953.350,445.000
955.112,573.000
956.874,609.000
958.635,736.000
960.396,861.000
962.156,1131.000
963.916,1431.000
965.675,1958.000
967.434,2724.000
969.193,3746.000
970.951,4967.000
972.709,6135.000
974.466,7308.000
976.223,8500.000
977.979,9887.000
979.735,11562.000
981.491,13225.000
983.246,14860.000
985.001,16320.000
986.755,18403.000
988.508,22197.000
990.262,25975.000
992.015,27247.000
993.767,24745.000
995.519,20313.000
997.271,15870.000
999.022,12194.000
1000.772,9578.000
1002.523,7570.000
1004.272,6137.000
1006.022,4955.000
1007.771,3959.000
1009.519,3145.000
1011.267,2527.000
1013.015,1995.000
1014.762,1626.000
1016.508,1230.000
1018.255,993.000
1020.000,802.000
1021.746,623.000
1023.491,505.000
1025.235,509.000
1026.979,479.000
1028.723,391.000
1030.466,434.000
1032.209,382.000
1033.951,350.000
1035.693,425.000
1037.434,363.000
1039.175,321.000
1040.916,367.000
1042.656,375.000
1044.396,325.000
1046.135,307.000
1047.874,290.000
1049.612,282.000
1051.350,330.000
1053.087,335.000
1054.824,289.000
1056.561,331.000
1058.297,345.000
1060.033,253.000
1061.768,310.000
1063.503,257.000
1065.237,282.000
1066.971,271.000
1068.705,302.000
1070.438,273.000
1072.171,338.000
1073.903,256.000
1075.635,275.000
1077.366,296.000
1079.097,291.000
1080.827,300.000
1082.557,293.000
1084.287,278.000
1086.016,295.000
1087.745,262.000
1089.473,303.000
1091.201,257.000
1092.928,288.000
1094.655,287.000
1096.382,232.000
1098.108,295.000
1099.834,230.000
1101.559,251.000
1103.284,286.000
1105.008,228.000
1106.732,258.000
1108.456,252.000
1110.179,241.000
1111.901,232.000
1113.623,285.000
1115.345,273.000
1117.066,288.000
1118.787,306.000
1120.508,277.000
1122.228,307.000
1123.947,354.000
1125.666,348.000
1127.385,335.000
1129.103,329.000
1130.821,366.000
1132.539,348.000
1134.256,376.000
1135.972,402.000
1137.688,467.000
1139.404,464.000
1141.119,461.000
1142.834,499.000
1144.548,517.000
1146.262,535.000
1147.976,593.000
1149.689,647.000
1151.401,679.000
1153.113,746.000
1154.825,849.000
1156.536,986.000
1158.247,1029.000
1159.958,1225.000
1161.668,1344.000
1163.377,1494.000
1165.086,1644.000
1166.795,1866.000
1168.503,2038.000
1170.211,2265.000
1171.919,2431.000
1173.626,2604.000
1175.332,2677.000
1177.038,2623.000
1178.744,2514.000
1180.449,2322.000
1182.154,2101.000
1183.858,1859.000
1185.562,1709.000
1187.266,1388.000
1188.969,1212.000
1190.672,1102.000
1192.374,975.000
1194.076,875.000
1195.777,756.000
1197.478,692.000
1199.178,609.000
1200.878,577.000
1202.578,579.000
1204.277,509.000
1205.976,533.000
1207.674,461.000
1209.372,415.000
1211.070,409.000
1212.767,398.000
1214.463,410.000
1216.160,373.000
1217.855,345.000
1219.551,395.000
1221.245,307.000
1222.940,319.000
1224.634,310.000
1226.328,266.000
1228.021,234.000
1229.713,286.000
1231.406,226.000
1233.098,256.000
1234.789,281.000
1236.480,275.000
1238.171,256.000
1239.861,267.000
1241.550,248.000
1243.240,255.000
1244.929,250.000
1246.617,215.000
1248.305,206.000
1249.993,193.000
1251.680,226.000
1253.366,219.000
1255.053,225.000
1256.739,180.000
1258.424,218.000
1260.109,228.000
1261.794,195.000
1263.478,209.000
1265.161,187.000
1266.845,153.000
1268.527,189.000
1270.210,217.000
1271.892,207.000
1273.573,229.000
1275.255,215.000
1276.935,202.000
1278.616,202.000
1280.295,241.000
1281.975,225.000
1283.654,222.000
1285.332,252.000
1287.010,181.000
1288.688,211.000
1290.365,214.000
1292.042,196.000
1293.719,215.000
1295.395,219.000
1297.070,201.000
1298.745,223.000
1300.420,221.000
1302.094,209.000
1303.768,214.000
1305.442,242.000
1307.115,214.000
1308.787,189.000
1310.459,289.000
1312.131,175.000
1313.802,212.000
1315.473,240.000
1317.144,246.000
1318.814,206.000
1320.483,194.000
1322.153,173.000
1323.821,185.000
1325.490,220.000
1327.157,203.000
1328.825,164.000
1330.492,177.000
1332.159,207.000
1333.825,220.000
1335.491,254.000
1337.156,212.000
1338.821,189.000
1340.485,245.000
1342.149,193.000
1343.813,196.000
1345.476,237.000
1347.139,165.000
1348.801,222.000
1350.463,202.000
1352.125,204.000
1353.786,165.000
1355.446,246.000
1357.107,220.000
1358.766,245.000
1360.426,256.000
1362.085,274.000
1363.743,240.000
1365.401,307.000
1367.059,234.000
1368.716,219.000
1370.373,259.000
1372.029,157.000
1373.685,222.000
1375.341,215.000
1376.996,211.000
1378.651,206.000
1380.305,222.000
1381.959,192.000
1383.612,245.000
1385.265,234.000
1386.918,191.000
1388.570,212.000
1390.222,228.000
1391.873,227.000
1393.524,240.000
1395.175,293.000
1396.825,281.000
1398.474,316.000
1400.123,286.000
1401.772,347.000
1403.421,342.000
1405.069,366.000
1406.716,284.000
1408.363,316.000
1410.010,319.000
1411.656,303.000
1413.302,319.000
1414.947,279.000
1416.592,216.000
1418.237,226.000
1419.881,219.000
1421.525,198.000
1423.168,190.000
1424.811,196.000
1426.453,192.000
1428.095,205.000
1429.737,240.000
1431.378,180.000
1433.019,208.000
1434.659,196.000
1436.299,217.000
1437.939,191.000
1439.578,208.000
1441.216,241.000
1442.855,168.000
1444.492,194.000
1446.130,173.000
1447.767,188.000
1449.403,206.000
1451.039,172.000
1452.675,155.000
1454.310,225.000
1455.945,225.000
1457.580,211.000
1459.214,217.000
1460.847,254.000
1462.481,209.000
1464.113,195.000
1465.746,202.000
1467.378,245.000
1469.009,228.000
1470.640,210.000
1472.271,205.000
1473.901,264.000
1475.531,274.000
1477.160,256.000
1478.789,247.000
1480.418,286.000
1482.046,281.000
1483.674,247.000
1485.301,272.000
1486.928,226.000
1488.554,263.000
1490.180,258.000
1491.806,278.000
1493.431,284.000
1495.056,257.000
1496.680,215.000
1498.304,247.000
1499.928,212.000
1501.551,277.000
1503.174,246.000
1504.796,243.000
1506.418,229.000
1508.039,207.000
1509.660,217.000
1511.281,259.000
1512.901,258.000
1514.521,233.000
1516.140,259.000
1517.759,230.000
1519.378,198.000
1520.996,241.000
1522.614,231.000
1524.231,249.000
1525.848,259.000
1527.464,263.000
1529.080,254.000
1530.696,279.000
1532.311,237.000
1533.926,302.000
1535.540,282.000
1537.154,276.000
1538.768,309.000
1540.381,270.000
1541.993,335.000
1543.606,323.000
1545.217,301.000
1546.829,314.000
1548.440,384.000
1550.051,406.000
1551.661,425.000
1553.271,390.000
1554.880,437.000
1556.489,492.000
1558.097,524.000
1559.705,547.000
1561.313,639.000
1562.920,699.000
1564.527,760.000
1566.134,792.000
1567.740,926.000
1569.345,1054.000
1570.951,1107.000
1572.555,1357.000
1574.160,1516.000
1575.764,1669.000
1577.367,1887.000
1578.970,2099.000
1580.573,2283.000
1582.175,2520.000
1583.777,2638.000
1585.379,2658.000
1586.980,2594.000
1588.580,2510.000
1590.181,2340.000
1591.780,2123.000
1593.380,2108.000
1594.979,1963.000
1596.577,1929.000
1598.175,1892.000
1599.773,1994.000
1601.371,2032.000
1602.967,2045.000
1604.564,2046.000
1606.160,2072.000
1607.756,1969.000
1609.351,1808.000
1610.946,1609.000
1612.540,1432.000
1614.134,1236.000
1615.728,1138.000
1617.321,1047.000
1618.914,911.000
1620.506,835.000
1622.098,803.000
1623.690,735.000
1625.281,645.000
1626.871,717.000
1628.462,535.000
1630.052,547.000
1631.641,498.000
1633.230,485.000
1634.819,442.000
1636.407,439.000
1637.995,363.000
1639.582,380.000
1641.169,361.000
1642.756,312.000
1644.342,370.000
1645.928,339.000
1647.513,351.000
1649.098,306.000
1650.683,340.000
1652.267,299.000
1653.850,290.000
1655.434,270.000
1657.017,276.000
1658.599,247.000
1660.181,249.000
1661.763,255.000
1663.344,304.000
1664.925,284.000
1666.505,226.000
1668.085,279.000
1669.665,263.000
1671.244,236.000
1672.823,256.000
1674.401,255.000
1675.979,227.000
1677.557,237.000
1679.134,283.000
1680.710,248.000
1682.287,247.000
1683.863,245.000
1685.438,253.000
1687.013,270.000
1688.588,273.000
1690.162,275.000
1691.736,291.000
1693.309,317.000
1694.882,265.000
1696.455,251.000
1698.027,298.000
1699.599,266.000
1701.170,294.000
1702.741,270.000
1704.312,270.000
1705.882,264.000
1707.452,321.000
1709.021,227.000
1710.590,224.000
1712.159,267.000
1713.727,212.000
1715.295,233.000
1716.862,278.000
1718.429,231.000
1719.995,255.000
1721.561,209.000
1723.127,226.000
1724.692,248.000
1726.257,229.000
1727.821,223.000
1729.386,293.000
1730.949,236.000
1732.512,260.000
1734.075,310.000
1735.638,189.000
1737.200,218.000
1738.761,224.000
1740.322,157.000
1741.883,204.000
1743.443,162.000
