Device_SN,R1380193
Test_Time,01/30/2024 15:30:05
Memo,R1380193; Raman Laser Off; 
Integration_Time(ms),27000.00
Case_Temperature,25.80
Sensor_Temperature,-18.12
Laser_Wavelength(nm),532.000
Laser_Power(mW),0
WL_Unit,Raman_Shift(cm^-1)
Pwr_Unit,Count
Substract_Background,Yes
Smoothing,No
Baseline_Correction,No
Average_Number,1
Peak_Search_Mode,None
Noise_Threshold,1000
Data_Count,2048
WL,Power
90.605,17821.000
92.580,17266.000
94.555,16544.000
96.529,15902.000
98.503,15056.000
100.476,14293.000
102.449,13484.000
104.421,12663.000
106.392,11912.000
108.364,11112.000
110.334,10298.000
112.305,9712.000
114.274,8922.000
116.244,8388.000
118.213,7768.000
120.181,7231.000
122.149,6649.000
124.116,6132.000
126.083,5704.000
128.050,5184.000
130.016,4902.000
131.981,4483.000
133.946,4116.000
135.911,3837.000
137.875,3569.000
139.838,3241.000
141.801,2997.000
143.764,2793.000
145.726,2599.000
147.688,2337.000
149.649,2182.000
151.610,2021.000
153.570,1798.000
155.530,1758.000
157.489,1605.000
159.448,1400.000
161.406,1354.000
163.364,1267.000
165.321,1160.000
167.278,1130.000
169.235,1060.000
171.191,947.000
173.146,946.000
175.101,856.000
177.056,807.000
179.010,724.000
180.963,705.000
182.916,659.000
184.869,619.000
186.821,626.000
188.773,552.000
190.724,514.000
192.675,509.000
194.625,497.000
196.575,459.000
198.524,429.000
200.473,384.000
202.421,409.000
204.369,369.000
206.316,337.000
208.263,319.000
210.210,325.000
212.156,310.000
214.101,253.000
216.046,277.000
217.991,226.000
219.935,222.000
221.878,237.000
223.821,218.000
225.764,165.000
227.706,199.000
229.648,177.000
231.589,178.000
233.530,128.000
235.470,169.000
237.410,230.000
239.349,178.000
241.288,140.000
243.227,153.000
245.164,177.000
247.102,97.000
249.039,153.000
250.975,148.000
252.911,114.000
254.847,182.000
256.782,159.000
258.717,101.000
260.651,172.000
262.584,148.000
264.518,144.000
266.450,134.000
268.383,126.000
270.314,121.000
272.246,124.000
274.176,153.000
276.107,112.000
278.037,93.000
279.966,123.000
281.895,104.000
283.823,138.000
285.751,123.000
287.679,102.000
289.606,118.000
291.533,100.000
293.459,93.000
295.384,133.000
297.310,155.000
299.234,61.000
301.158,97.000
303.082,155.000
305.005,98.000
306.928,78.000
308.851,117.000
310.773,110.000
312.694,86.000
314.615,73.000
316.535,120.000
318.455,81.000
320.375,137.000
322.294,93.000
324.212,107.000
326.131,104.000
328.048,114.000
329.965,141.000
331.882,74.000
333.798,145.000
335.714,105.000
337.629,152.000
339.544,123.000
341.459,76.000
343.372,101.000
345.286,94.000
347.199,117.000
349.111,78.000
351.023,79.000
352.935,179.000
354.846,148.000
356.757,130.000
358.667,151.000
360.576,146.000
362.486,79.000
364.394,123.000
366.303,117.000
368.210,122.000
370.118,164.000
