Device_SN,R1380193
Test_Time,02/01/2024 16:52:11
Memo,R1380193; Raman Laser Off; 
Integration_Time(ms),27000.00
Case_Temperature,28.47
Sensor_Temperature,-16.74
Laser_Wavelength(nm),532.000
Laser_Power(mW),0
WL_Unit,Raman_Shift(cm^-1)
Pwr_Unit,Count
Substract_Background,Yes
Smoothing,No
Baseline_Correction,No
Average_Number,1
Peak_Search_Mode,None
Noise_Threshold,1000
Data_Count,2048
WL,Power
90.605,173344.000
92.580,167217.000
94.555,160758.000
96.529,153684.000
98.503,146659.000
100.476,138818.000
102.449,131401.000
104.421,123295.000
106.392,116070.000
108.364,108741.000
110.334,101352.000
112.305,94422.000
114.274,87702.000
116.244,81767.000
118.213,75620.000
120.181,69918.000
122.149,64083.000
124.116,60025.000
126.083,55590.000
128.050,51378.000
130.016,47673.000
131.981,43984.000
133.946,40471.000
135.911,37873.000
137.875,34743.000
139.838,31535.000
141.801,29732.000
143.764,27567.000
145.726,25445.000
147.688,23941.000
149.649,21587.000
151.610,19894.000
153.570,18470.000
155.530,17555.000
157.489,15929.000
159.448,14862.000
161.406,13655.000
163.364,13007.000
165.321,12245.000
167.278,11001.000
169.235,10521.000
171.191,9746.000
173.146,8828.000
175.101,8585.000
177.056,8190.000
179.010,7527.000
180.963,6927.000
182.916,6629.000
184.869,6290.000
186.821,5940.000
188.773,5446.000
190.724,5420.000
192.675,4693.000
194.625,4537.000
196.575,4179.000
198.524,4038.000
200.473,3915.000
202.421,3817.000
204.369,3415.000
206.316,3348.000
208.263,2837.000
210.210,3220.000
212.156,3493.000
214.101,2614.000
216.046,2885.000
217.991,2968.000
219.935,2488.000
221.878,2539.000
223.821,2079.000
225.764,2454.000
227.706,2312.000
229.648,2220.000
231.589,1771.000
233.530,2026.000
235.470,1814.000
237.410,2035.000
239.349,1684.000
241.288,1993.000
243.227,1628.000
245.164,2095.000
247.102,1587.000
249.039,1425.000
250.975,2018.000
252.911,1978.000
254.847,1605.000
256.782,1585.000
258.717,1550.000
260.651,1190.000
262.584,1657.000
264.518,1405.000
266.450,1142.000
268.383,863.000
270.314,1324.000
272.246,1221.000
274.176,1325.000
276.107,1228.000
278.037,1293.000
279.966,1474.000
281.895,1406.000
283.823,1711.000
285.751,1081.000
287.679,1368.000
289.606,1354.000
291.533,1311.000
293.459,1177.000
295.384,1169.000
297.310,1328.000
299.234,1403.000
301.158,1269.000
303.082,1199.000
305.005,1056.000
306.928,1235.000
308.851,1249.000
310.773,1103.000
312.694,1262.000
314.615,1431.000
316.535,964.000
318.455,1022.000
320.375,1258.000
322.294,1253.000
324.212,936.000
326.131,1749.000
328.048,979.000
329.965,934.000
331.882,1314.000
333.798,1434.000
335.714,1268.000
337.629,1328.000
339.544,1113.000
341.459,1565.000
343.372,1383.000
345.286,947.000
347.199,1072.000
349.111,1476.000
351.023,1110.000
352.935,1486.000
354.846,1291.000
356.757,1325.000
358.667,1379.000
360.576,1679.000
362.486,1258.000
364.394,1167.000
366.303,1365.000
368.210,1502.000
370.118,1472.000
372.025,1361.000
373.931,1489.000
375.837,1677.000
377.742,1655.000
379.647,1471.000
381.552,1851.000
383.456,1853.000
385.360,1861.000
387.263,1876.000
389.165,1900.000
391.067,2070.000
392.969,2039.000
394.870,1694.000
396.771,1722.000
398.672,2135.000
400.571,2286.000
402.471,1833.000
404.370,1660.000
406.268,2285.000
408.166,1770.000
410.064,1856.000
411.961,1916.000
413.857,1577.000
415.753,2174.000
417.649,2116.000
419.544,1638.000
421.439,1973.000
423.333,1833.000
425.227,1277.000
