Device_SN,R1380193
Test_Time,02/01/2024 14:43:28
Memo,R1380193; Raman Laser Off; 
Integration_Time(ms),27000.00
Case_Temperature,26.89
Sensor_Temperature,-18.76
Laser_Wavelength(nm),532.000
Laser_Power(mW),0
WL_Unit,Raman_Shift(cm^-1)
Pwr_Unit,Count
Substract_Background,Yes
Smoothing,No
Baseline_Correction,No
Average_Number,1
Peak_Search_Mode,None
Noise_Threshold,1000
Data_Count,2048
WL,Power
90.605,17205.000
92.580,16562.000
94.555,15993.000
96.529,15247.000
98.503,14540.000
100.476,13794.000
102.449,12969.000
104.421,12195.000
106.392,11502.000
108.364,10835.000
110.334,10075.000
112.305,9453.000
114.274,8687.000
116.244,8107.000
118.213,7586.000
120.181,6973.000
122.149,6339.000
124.116,5982.000
126.083,5519.000
128.050,5071.000
130.016,4791.000
131.981,4318.000
133.946,4027.000
135.911,3791.000
137.875,3478.000
139.838,3110.000
141.801,2969.000
143.764,2717.000
145.726,2537.000
147.688,2365.000
149.649,2111.000
151.610,1962.000
153.570,1842.000
155.530,1679.000
157.489,1571.000
159.448,1485.000
161.406,1312.000
163.364,1260.000
165.321,1194.000
167.278,1066.000
169.235,1049.000
171.191,985.000
173.146,864.000
175.101,840.000
177.056,792.000
179.010,711.000
180.963,698.000
182.916,649.000
184.869,576.000
186.821,584.000
188.773,523.000
190.724,489.000
192.675,445.000
194.625,396.000
196.575,392.000
198.524,390.000
200.473,358.000
202.421,342.000
204.369,313.000
206.316,305.000
208.263,267.000
210.210,291.000
212.156,305.000
214.101,253.000
216.046,295.000
217.991,254.000
219.935,230.000
221.878,235.000
223.821,182.000
225.764,234.000
227.706,224.000
229.648,228.000
231.589,151.000
233.530,172.000
235.470,164.000
237.410,152.000
239.349,145.000
241.288,175.000
243.227,180.000
245.164,193.000
247.102,101.000
249.039,134.000
250.975,183.000
252.911,172.000
254.847,137.000
256.782,154.000
258.717,115.000
260.651,98.000
262.584,121.000
264.518,106.000
266.450,104.000
268.383,33.000
270.314,115.000
272.246,110.000
274.176,87.000
276.107,91.000
278.037,142.000
279.966,110.000
281.895,91.000
283.823,142.000
285.751,66.000
287.679,140.000
289.606,105.000
291.533,130.000
293.459,95.000
295.384,124.000
297.310,112.000
299.234,130.000
301.158,116.000
303.082,67.000
305.005,84.000
306.928,95.000
308.851,123.000
310.773,105.000
312.694,127.000
314.615,91.000
316.535,54.000
318.455,102.000
320.375,101.000
322.294,79.000
324.212,63.000
326.131,133.000
328.048,83.000
329.965,74.000
331.882,95.000
333.798,127.000
335.714,118.000
337.629,106.000
339.544,125.000
341.459,113.000
343.372,130.000
345.286,123.000
347.199,45.000
349.111,138.000
351.023,122.000
352.935,141.000
354.846,101.000
356.757,95.000
358.667,96.000
360.576,96.000
362.486,106.000
364.394,106.000
366.303,138.000
368.210,105.000
370.118,107.000
372.025,97.000
373.931,140.000
375.837,144.000
377.742,177.000
379.647,119.000
381.552,171.000
383.456,175.000
385.360,193.000
387.263,182.000
389.165,186.000
391.067,179.000
392.969,193.000
394.870,167.000
396.771,181.000
398.672,329.000
400.571,290.000
402.471,162.000
404.370,158.000
406.268,198.000
408.166,178.000
410.064,144.000
411.961,156.000
413.857,120.000
415.753,195.000
417.649,161.000
419.544,133.000
421.439,195.000
423.333,157.000
425.227,114.000
427.120,170.000
429.013,122.000
430.906,139.000
432.798,125.000
434.689,152.000
436.580,113.000
438.471,140.000
440.361,117.000
442.250,118.000
444.140,163.000
446.028,114.000
447.916,112.000
449.804,147.000
451.691,108.000
453.578,70.000
455.465,125.000
457.351,84.000
459.236,102.000
461.121,137.000
463.005,107.000
464.889,101.000
466.773,128.000
468.656,144.000
