Device_SN,R1380193
Test_Time,02/06/2024 14:58:41
Memo,R1380193; Raman Laser Off; 
Integration_Time(ms),27000.00
Case_Temperature,27.67
Sensor_Temperature,-16.59
Laser_Wavelength(nm),532.000
Laser_Power(mW),0
WL_Unit,Raman_Shift(cm^-1)
Pwr_Unit,Count
Substract_Background,Yes
Smoothing,No
Baseline_Correction,No
Average_Number,1
Peak_Search_Mode,None
Noise_Threshold,1000
Data_Count,2048
WL,Power
90.605,402.000
92.580,347.000
94.555,318.000
96.529,378.000
98.503,383.000
100.476,319.000
102.449,319.000
104.421,280.000
106.392,293.000
108.364,318.000
110.334,301.000
112.305,274.000
114.274,323.000
116.244,290.000
118.213,284.000
120.181,279.000
122.149,305.000
124.116,345.000
126.083,285.000
128.050,256.000
130.016,234.000
131.981,321.000
133.946,287.000
135.911,299.000
137.875,353.000
139.838,291.000
141.801,266.000
143.764,307.000
145.726,291.000
147.688,315.000
149.649,302.000
151.610,272.000
153.570,285.000
155.530,257.000
157.489,266.000
159.448,256.000
161.406,275.000
163.364,371.000
165.321,350.000
167.278,267.000
169.235,324.000
171.191,353.000
173.146,354.000
175.101,413.000
177.056,403.000
179.010,440.000
180.963,470.000
182.916,468.000
184.869,591.000
186.821,649.000
188.773,739.000
190.724,947.000
192.675,1044.000
194.625,1306.000
196.575,1478.000
198.524,1630.000
200.473,1766.000
202.421,1833.000
204.369,1915.000
206.316,1968.000
208.263,2269.000
210.210,2552.000
212.156,2803.000
214.101,3049.000
216.046,3187.000
217.991,3063.000
219.935,3040.000
221.878,2821.000
223.821,2518.000
225.764,2367.000
227.706,2101.000
229.648,1832.000
231.589,1643.000
233.530,1492.000
235.470,1315.000
237.410,1266.000
239.349,1109.000
241.288,1021.000
243.227,900.000
245.164,857.000
247.102,743.000
249.039,698.000
250.975,598.000
252.911,600.000
254.847,598.000
256.782,549.000
258.717,512.000
260.651,567.000
262.584,524.000
264.518,527.000
266.450,526.000
268.383,468.000
270.314,550.000
272.246,588.000
274.176,619.000
276.107,631.000
278.037,688.000
279.966,788.000
281.895,905.000
283.823,1059.000
285.751,1170.000
287.679,1380.000
289.606,1636.000
291.533,1874.000
293.459,2089.000
295.384,2181.000
297.310,2328.000
299.234,2373.000
301.158,2437.000
303.082,2638.000
305.005,2942.000
306.928,3253.000
308.851,3591.000
310.773,3866.000
312.694,3912.000
314.615,3831.000
316.535,3614.000
318.455,3238.000
320.375,2937.000
322.294,2563.000
324.212,2215.000
326.131,1941.000
328.048,1707.000
329.965,1498.000
331.882,1394.000
333.798,1167.000
335.714,1038.000
337.629,922.000
339.544,791.000
341.459,731.000
343.372,613.000
345.286,543.000
347.199,520.000
349.111,494.000
351.023,443.000
352.935,378.000
354.846,417.000
356.757,356.000
358.667,380.000
360.576,367.000
362.486,355.000
364.394,306.000
366.303,343.000
368.210,292.000
370.118,329.000
372.025,306.000
373.931,331.000
375.837,302.000
377.742,308.000
379.647,321.000
381.552,289.000
383.456,318.000
385.360,297.000
387.263,296.000
389.165,291.000
391.067,278.000
392.969,253.000
394.870,253.000
396.771,268.000
398.672,326.000
400.571,275.000
402.471,297.000
404.370,298.000
406.268,297.000
408.166,336.000
410.064,341.000
411.961,335.000
413.857,349.000
415.753,327.000
417.649,396.000
419.544,441.000
421.439,410.000
423.333,470.000
425.227,503.000
427.120,545.000
429.013,593.000
430.906,711.000
432.798,776.000
434.689,883.000
436.580,962.000
438.471,1034.000
440.361,1098.000
442.250,1193.000
444.140,1230.000
446.028,1336.000
447.916,1340.000
449.804,1393.000
451.691,1466.000
453.578,1607.000
455.465,1707.000
457.351,1823.000
459.236,1814.000
461.121,1632.000
463.005,1626.000
464.889,1414.000
466.773,1295.000
468.656,1148.000
470.539,1092.000
472.421,924.000
474.303,853.000
476.184,727.000
478.065,687.000
479.945,625.000
481.825,596.000
483.704,507.000
485.583,505.000
487.462,446.000
489.340,442.000
491.217,373.000
493.094,350.000
494.971,342.000
496.847,328.000
498.723,292.000
500.598,319.000
502.473,303.000
504.347,315.000
506.221,247.000
508.095,305.000
509.967,303.000
511.840,305.000
513.712,310.000
515.584,335.000
517.455,327.000
519.325,278.000
521.195,274.000
523.065,252.000
524.934,249.000
526.803,319.000
528.671,272.000
530.539,248.000
532.407,292.000
