Device_SN,R1380193
Test_Time,02/06/2024 14:51:12
Memo,R1380193; Raman Laser Off; 
Integration_Time(ms),27000.00
Case_Temperature,27.03
Sensor_Temperature,-18.37
Laser_Wavelength(nm),532.000
Laser_Power(mW),0
WL_Unit,Raman_Shift(cm^-1)
Pwr_Unit,Count
Substract_Background,Yes
Smoothing,No
Baseline_Correction,No
Average_Number,1
Peak_Search_Mode,None
Noise_Threshold,1000
Data_Count,2048
WL,Power
90.605,287.000
92.580,238.000
94.555,221.000
96.529,226.000
98.503,192.000
100.476,194.000
102.449,188.000
104.421,179.000
106.392,173.000
108.364,169.000
110.334,124.000
112.305,123.000
114.274,190.000
116.244,107.000
118.213,134.000
120.181,108.000
122.149,119.000
124.116,115.000
126.083,118.000
128.050,88.000
130.016,92.000
131.981,117.000
133.946,67.000
135.911,77.000
137.875,109.000
139.838,92.000
141.801,99.000
143.764,82.000
145.726,114.000
147.688,119.000
149.649,92.000
151.610,86.000
153.570,84.000
155.530,111.000
157.489,95.000
159.448,76.000
161.406,108.000
163.364,153.000
165.321,111.000
167.278,98.000
169.235,123.000
171.191,144.000
173.146,165.000
175.101,223.000
177.056,236.000
179.010,237.000
180.963,324.000
182.916,325.000
184.869,422.000
186.821,563.000
188.773,657.000
190.724,871.000
192.675,1027.000
194.625,1253.000
196.575,1486.000
198.524,1697.000
200.473,1807.000
202.421,1894.000
204.369,1998.000
206.316,2148.000
208.263,2458.000
210.210,2726.000
212.156,3093.000
214.101,3367.000
216.046,3504.000
217.991,3420.000
219.935,3403.000
221.878,3109.000
223.821,2765.000
225.764,2457.000
227.706,2232.000
229.648,1903.000
231.589,1706.000
233.530,1482.000
235.470,1338.000
237.410,1205.000
239.349,1039.000
241.288,915.000
243.227,768.000
245.164,755.000
247.102,646.000
249.039,591.000
250.975,471.000
252.911,468.000
254.847,447.000
256.782,379.000
258.717,402.000
260.651,410.000
262.584,392.000
264.518,362.000
266.450,358.000
268.383,371.000
270.314,439.000
272.246,425.000
274.176,484.000
276.107,535.000
278.037,522.000
279.966,674.000
281.895,791.000
283.823,1008.000
285.751,1187.000
287.679,1472.000
289.606,1673.000
291.533,2007.000
293.459,2195.000
295.384,2319.000
297.310,2504.000
299.234,2602.000
301.158,2695.000
303.082,2995.000
305.005,3311.000
306.928,3677.000
308.851,4061.000
310.773,4331.000
312.694,4411.000
314.615,4293.000
316.535,4078.000
318.455,3642.000
320.375,3250.000
322.294,2790.000
324.212,2427.000
326.131,2064.000
328.048,1756.000
329.965,1532.000
331.882,1320.000
333.798,1131.000
335.714,960.000
337.629,841.000
339.544,728.000
341.459,575.000
343.372,478.000
345.286,440.000
347.199,375.000
349.111,333.000
351.023,307.000
352.935,248.000
354.846,264.000
356.757,230.000
358.667,215.000
360.576,175.000
362.486,211.000
364.394,135.000
366.303,151.000
368.210,87.000
370.118,153.000
372.025,138.000
373.931,161.000
375.837,97.000
377.742,166.000
379.647,145.000
381.552,156.000
383.456,130.000
385.360,170.000
387.263,136.000
389.165,103.000
391.067,128.000
392.969,104.000
394.870,136.000
396.771,115.000
398.672,137.000
400.571,108.000
402.471,207.000
404.370,163.000
406.268,235.000
408.166,266.000
410.064,308.000
411.961,338.000
413.857,387.000
415.753,427.000
417.649,561.000
419.544,715.000
421.439,744.000
423.333,962.000
425.227,1191.000
427.120,1467.000
429.013,1802.000
430.906,2247.000
432.798,2663.000
434.689,3210.000
436.580,3710.000
438.471,4181.000
440.361,4610.000
442.250,5006.000
444.140,5304.000
446.028,5643.000
447.916,5894.000
449.804,6297.000
451.691,6764.000
453.578,7491.000
455.465,8081.000
457.351,8508.000
459.236,8559.000
461.121,8036.000
463.005,7175.000
464.889,6242.000
466.773,5261.000
468.656,4521.000
470.539,3916.000
472.421,3386.000
474.303,2952.000
476.184,2554.000
478.065,2197.000
479.945,1825.000
481.825,1580.000
483.704,1281.000
485.583,1116.000
487.462,866.000
489.340,705.000
491.217,540.000
493.094,513.000
494.971,369.000
496.847,319.000
498.723,313.000
500.598,256.000
502.473,222.000
504.347,217.000
506.221,157.000
508.095,194.000
509.967,160.000
511.840,175.000
513.712,141.000
515.584,171.000
517.455,177.000
519.325,179.000
521.195,149.000
