Device_SN,R1380193
Test_Time,02/06/2024 14:30:27
Memo,R1380193; Raman Laser Off; 
Integration_Time(ms),27000.00
Case_Temperature,26.89
Sensor_Temperature,-18.71
Laser_Wavelength(nm),532.000
Laser_Power(mW),0
WL_Unit,Raman_Shift(cm^-1)
Pwr_Unit,Count
Substract_Background,Yes
Smoothing,No
Baseline_Correction,No
Average_Number,1
Peak_Search_Mode,None
Noise_Threshold,1000
Data_Count,2048
WL,Power
90.605,10070.000
92.580,9598.000
94.555,9187.000
96.529,8855.000
98.503,8294.000
100.476,7764.000
102.449,7244.000
104.421,6818.000
106.392,6338.000
108.364,5900.000
110.334,5368.000
112.305,4944.000
114.274,4607.000
116.244,4204.000
118.213,3895.000
120.181,3521.000
122.149,3256.000
124.116,2989.000
126.083,2761.000
128.050,2575.000
130.016,2286.000
131.981,2116.000
133.946,1979.000
135.911,1807.000
137.875,1647.000
139.838,1555.000
141.801,1365.000
143.764,1242.000
145.726,1178.000
147.688,1063.000
149.649,1002.000
151.610,886.000
153.570,779.000
155.530,780.000
157.489,722.000
159.448,623.000
161.406,556.000
163.364,559.000
165.321,477.000
167.278,435.000
169.235,430.000
171.191,359.000
173.146,338.000
175.101,375.000
177.056,290.000
179.010,284.000
180.963,275.000
182.916,207.000
184.869,247.000
186.821,248.000
188.773,192.000
190.724,214.000
192.675,166.000
194.625,162.000
196.575,165.000
198.524,180.000
200.473,156.000
202.421,152.000
204.369,104.000
206.316,74.000
208.263,97.000
210.210,72.000
212.156,89.000
214.101,104.000
216.046,59.000
217.991,23.000
219.935,87.000
221.878,57.000
223.821,44.000
225.764,95.000
227.706,81.000
229.648,19.000
231.589,106.000
233.530,52.000
235.470,19.000
237.410,58.000
239.349,58.000
241.288,83.000
243.227,-8.000
245.164,69.000
247.102,71.000
249.039,68.000
250.975,-1.000
252.911,19.000
254.847,46.000
256.782,50.000
258.717,35.000
260.651,49.000
262.584,26.000
264.518,76.000
266.450,24.000
268.383,-3.000
270.314,21.000
272.246,8.000
274.176,36.000
276.107,24.000
278.037,-3.000
279.966,22.000
281.895,32.000
283.823,84.000
285.751,36.000
287.679,6.000
289.606,5.000
291.533,48.000
293.459,43.000
295.384,-8.000
297.310,72.000
299.234,26.000
301.158,13.000
303.082,62.000
305.005,32.000
