Device_SN,R1380193
Test_Time,02/06/2024 14:32:50
Memo,R1380193; Raman Laser Off; 
Integration_Time(ms),27000.00
Case_Temperature,26.57
Sensor_Temperature,-18.22
Laser_Wavelength(nm),532.000
Laser_Power(mW),0
WL_Unit,Raman_Shift(cm^-1)
Pwr_Unit,Count
Substract_Background,Yes
Smoothing,No
Baseline_Correction,No
Average_Number,1
Peak_Search_Mode,None
Noise_Threshold,1000
Data_Count,2048
WL,Power
90.605,12215.000
92.580,11673.000
94.555,11158.000
96.529,10477.000
98.503,9925.000
100.476,9321.000
102.449,8682.000
104.421,8097.000
106.392,7546.000
108.364,6990.000
110.334,6337.000
112.305,5875.000
114.274,5513.000
116.244,4948.000
118.213,4552.000
120.181,4190.000
122.149,3850.000
124.116,3510.000
126.083,3284.000
128.050,2969.000
130.016,2707.000
131.981,2551.000
133.946,2320.000
135.911,2089.000
137.875,1962.000
139.838,1745.000
141.801,1614.000
143.764,1488.000
145.726,1378.000
147.688,1285.000
149.649,1171.000
151.610,1036.000
153.570,1016.000
155.530,907.000
157.489,818.000
159.448,745.000
161.406,696.000
163.364,621.000
165.321,615.000
167.278,544.000
169.235,489.000
171.191,487.000
173.146,418.000
175.101,415.000
177.056,392.000
179.010,329.000
180.963,346.000
182.916,332.000
184.869,306.000
186.821,260.000
188.773,221.000
190.724,224.000
192.675,192.000
194.625,181.000
196.575,193.000
198.524,213.000
200.473,213.000
202.421,173.000
204.369,154.000
206.316,121.000
208.263,126.000
210.210,126.000
212.156,118.000
214.101,115.000
216.046,118.000
217.991,101.000
219.935,112.000
221.878,92.000
223.821,86.000
225.764,68.000
227.706,85.000
229.648,48.000
231.589,76.000
233.530,49.000
235.470,24.000
237.410,63.000
239.349,113.000
241.288,28.000
243.227,42.000
245.164,112.000
247.102,61.000
249.039,43.000
250.975,49.000
252.911,43.000
254.847,52.000
256.782,49.000
258.717,53.000
260.651,78.000
262.584,70.000
264.518,31.000
266.450,15.000
268.383,22.000
270.314,27.000
272.246,37.000
274.176,34.000
276.107,42.000
278.037,43.000
279.966,42.000
281.895,35.000
283.823,129.000
285.751,33.000
287.679,50.000
289.606,37.000
291.533,79.000
293.459,58.000
295.384,38.000
297.310,56.000
299.234,63.000
301.158,19.000
303.082,52.000
305.005,48.000
306.928,100.000
308.851,26.000
310.773,50.000
312.694,57.000
314.615,39.000
316.535,52.000
318.455,56.000
320.375,56.000
322.294,42.000
324.212,10.000
326.131,77.000
328.048,64.000
329.965,51.000
331.882,88.000
333.798,89.000
335.714,53.000
337.629,77.000
339.544,106.000
341.459,91.000
343.372,53.000
345.286,122.000
347.199,58.000
349.111,84.000
351.023,94.000
352.935,78.000
354.846,96.000
356.757,88.000
358.667,92.000
360.576,113.000
362.486,103.000
364.394,48.000
366.303,99.000
368.210,49.000
370.118,66.000
372.025,75.000
373.931,96.000
375.837,38.000
377.742,70.000
379.647,76.000
381.552,39.000
383.456,61.000
385.360,61.000
387.263,13.000
389.165,68.000
391.067,74.000
392.969,-9.000
394.870,58.000
396.771,10.000
398.672,75.000
400.571,48.000
402.471,42.000
404.370,-1.000
406.268,32.000
408.166,47.000
410.064,16.000
411.961,56.000
413.857,50.000
415.753,29.000
417.649,70.000
419.544,39.000
421.439,13.000
423.333,32.000
425.227,31.000
427.120,25.000
429.013,49.000
430.906,62.000
432.798,44.000
434.689,82.000
436.580,10.000
438.471,54.000
440.361,51.000
442.250,32.000
444.140,40.000
446.028,8.000
447.916,32.000
449.804,74.000
451.691,27.000
453.578,72.000
455.465,55.000
457.351,51.000
459.236,36.000
461.121,39.000
463.005,24.000
464.889,34.000
466.773,70.000
468.656,27.000
470.539,58.000
472.421,71.000
474.303,84.000
476.184,33.000
478.065,89.000
479.945,48.000
481.825,105.000
483.704,29.000
485.583,90.000
487.462,70.000
489.340,83.000
491.217,22.000
493.094,70.000
494.971,85.000
496.847,56.000
498.723,73.000
500.598,61.000
502.473,67.000
504.347,62.000
506.221,55.000
508.095,78.000
509.967,78.000
511.840,105.000
513.712,80.000
515.584,107.000
517.455,73.000
519.325,67.000
521.195,61.000
523.065,48.000
524.934,46.000
526.803,83.000
528.671,85.000
530.539,19.000
532.407,105.000
534.274,63.000
536.140,94.000
538.006,137.000
539.872,105.000
541.737,125.000
543.601,145.000
545.466,156.000
547.329,178.000
549.192,222.000
551.055,246.000
552.918,299.000
554.779,352.000
556.641,332.000
558.502,404.000
560.362,516.000
562.222,561.000
564.082,523.000
565.941,585.000
567.800,640.000
569.658,679.000
571.516,759.000
573.373,855.000
575.230,970.000
577.086,1020.000
578.942,1014.000
580.797,1013.000
582.652,922.000
584.507,775.000
586.361,700.000
588.215,613.000
590.068,554.000
591.920,512.000
593.773,461.000
595.624,376.000
597.476,406.000
599.327,312.000
601.177,372.000
603.027,266.000
604.876,248.000
606.725,248.000
608.574,221.000
610.422,219.000
612.270,217.000
614.117,213.000
615.964,184.000
617.810,222.000
619.656,214.000
621.501,218.000
623.346,194.000
625.190,228.000
627.034,215.000
628.878,308.000
630.721,263.000
632.564,259.000
634.406,395.000
636.247,341.000
638.089,415.000
639.930,462.000
641.770,557.000
643.610,609.000
645.449,702.000
647.288,707.000
649.127,781.000
650.965,802.000
652.802,819.000
654.639,932.000
656.476,1055.000
658.312,1058.000
660.148,1165.000
661.983,1255.000
663.818,1176.000
665.653,1139.000
667.487,1013.000
669.320,842.000
671.153,811.000
672.986,660.000
674.818,626.000
676.650,490.000
678.481,477.000
680.312,391.000
682.142,293.000
683.972,352.000
685.801,269.000
687.630,234.000
689.459,195.000
691.287,197.000
693.114,151.000
694.941,174.000
696.768,173.000
698.594,158.000
700.420,118.000
702.246,94.000
704.070,120.000
705.895,167.000
707.719,89.000
709.542,132.000
711.365,104.000
713.188,84.000
715.010,86.000
716.832,51.000
718.653,60.000
720.474,72.000
722.294,71.000
724.114,103.000
725.933,99.000
727.752,100.000
729.571,81.000
731.389,74.000
733.207,78.000
735.024,82.000
736.841,43.000
738.657,89.000
740.473,84.000
742.288,32.000
744.103,13.000
745.917,70.000
747.731,50.000
749.545,79.000
751.358,105.000
753.171,29.000
754.983,81.000
756.795,53.000
758.606,25.000
760.417,65.000
762.227,66.000
764.037,51.000
765.847,69.000
767.656,53.000
769.464,50.000
771.272,68.000
773.080,115.000
774.887,93.000
776.694,54.000
778.500,177.000
780.306,59.000
782.112,127.000
783.917,78.000
785.721,159.000
787.525,89.000
789.329,153.000
791.132,105.000
792.935,129.000
794.737,154.000
796.539,134.000
798.341,174.000
800.141,203.000
801.942,225.000
803.742,201.000
805.542,208.000
807.341,195.000
809.139,234.000
810.938,231.000
812.735,242.000
814.533,252.000
816.330,341.000
818.126,349.000
819.922,343.000
821.718,385.000
823.513,444.000
825.308,518.000
827.102,478.000
828.895,594.000
830.689,579.000
832.482,695.000
834.274,717.000
836.066,808.000
837.858,828.000
839.649,975.000
841.439,1046.000
843.229,1174.000
845.019,1280.000
846.808,1343.000
848.597,1475.000
850.386,1516.000
852.174,1520.000
853.961,1661.000
855.748,1669.000
857.535,1786.000
859.321,1831.000
861.107,1948.000
862.892,2087.000
864.677,2122.000
866.461,2233.000
868.245,2211.000
870.028,2148.000
871.812,2015.000
873.594,1815.000
875.376,1611.000
877.158,1390.000
878.939,1180.000
880.720,1077.000
882.500,926.000
884.280,745.000
886.060,731.000
887.839,640.000
889.617,525.000
891.395,504.000
893.173,479.000
894.950,399.000
896.727,368.000
898.503,402.000
900.279,356.000
902.055,362.000
903.830,369.000
905.604,324.000
907.378,425.000
909.152,385.000
910.925,427.000
912.698,522.000
914.470,697.000
916.242,906.000
918.014,1421.000
919.785,2226.000
921.555,3272.000
923.326,4527.000
925.095,5707.000
926.864,6858.000
928.633,8060.000
930.402,9380.000
932.169,10806.000
933.937,12695.000
935.704,14660.000
937.470,16345.000
939.237,18608.000
941.002,22560.000
942.768,27415.000
944.532,29468.000
946.297,26866.000
948.061,21688.000
949.824,16548.000
951.587,12315.000
953.350,9371.000
955.112,7519.000
956.874,6097.000
958.635,4940.000
960.396,4003.000
962.156,3282.000
963.916,2638.000
965.675,2191.000
967.434,1803.000
969.193,1479.000
970.951,1209.000
972.709,1001.000
974.466,895.000
976.223,735.000
977.979,718.000
979.735,715.000
981.491,690.000
983.246,690.000
985.001,723.000
986.755,701.000
988.508,730.000
990.262,701.000
992.015,695.000
993.767,734.000
995.519,742.000
997.271,744.000
999.022,751.000
1000.772,675.000
1002.523,636.000
1004.272,640.000
1006.022,555.000
1007.771,510.000
1009.519,463.000
1011.267,416.000
1013.015,281.000
1014.762,326.000
1016.508,285.000
1018.255,226.000
1020.000,261.000
1021.746,203.000
1023.491,173.000
1025.235,203.000
1026.979,133.000
1028.723,126.000
1030.466,134.000
1032.209,113.000
1033.951,51.000
1035.693,133.000
1037.434,89.000
1039.175,81.000
1040.916,133.000
1042.656,86.000
1044.396,74.000
1046.135,75.000
1047.874,50.000
1049.612,65.000
1051.350,105.000
1053.087,65.000
1054.824,45.000
1056.561,136.000
1058.297,103.000
1060.033,18.000
1061.768,54.000
1063.503,38.000
1065.237,55.000
1066.971,47.000
1068.705,49.000
1070.438,56.000
1072.171,117.000
1073.903,35.000
1075.635,55.000
1077.366,18.000
1079.097,24.000
1080.827,62.000
1082.557,55.000
1084.287,55.000
1086.016,92.000
1087.745,41.000
1089.473,80.000
1091.201,86.000
1092.928,78.000
1094.655,89.000
1096.382,71.000
1098.108,73.000
1099.834,61.000
1101.559,68.000
1103.284,85.000
1105.008,19.000
1106.732,66.000
1108.456,34.000
1110.179,48.000
1111.901,55.000
